epoch,train_loss,train_acc,valid_loss,valid_acc
1,1.364068347328114,0.5555084235263321,0.41401373346646625,0.8887192209561666
2,0.5254271795164864,0.8413479924201965,0.23340186228354773,0.9351414442062378
3,0.33477567023826094,0.8999170447295567,0.1883922815322876,0.9430841604868571
4,0.26564128556341493,0.9190664516305024,0.14562747379144034,0.9575905501842499
5,0.226662370675015,0.930930254594335,0.13246182600657144,0.9627959231535593
6,0.19377407797102658,0.940002367181598,0.11185055101911227,0.9651811023553213
7,0.17376249691225448,0.9479838351033768,0.10505845894416173,0.9674597481886545
8,0.15706839285931498,0.9524244306222448,0.10296681150794029,0.9665098190307617
9,0.14286009629942337,0.9560711530019652,0.10206418981154759,0.9696584939956665
10,0.1305192917023065,0.9605866265746782,0.09227668618162473,0.9726680815219879
11,0.12495232992014794,0.9615216333911104,0.08237495335439841,0.971445898214976
12,0.11983302530815017,0.9624311575349772,0.08400805046161015,0.9725053211053213
13,0.10976987922529005,0.9658983271076994,0.07700604200363159,0.9754320482412974
14,0.1096980002410007,0.9662786024921345,0.07413103121022384,0.9749733606974283
15,0.09699217989197317,0.9706517671639064,0.06770758703351021,0.9780628482500712
16,0.0933960313504597,0.9712751057912719,0.06437034842868646,0.9788766503334045
17,0.0897254082110693,0.9717745601006273,0.07705469615757465,0.9750828544298807
18,0.09409464298273032,0.9709434430554228,0.06304058556755383,0.979258398214976
19,0.08205107311314007,0.9748108814347465,0.0604871449371179,0.9778201878070831
20,0.08157243755347324,0.9744862745392997,0.06426884916921456,0.9780391752719879

test_loss,test_acc
0.04784836508333683,0.9853236615657807

parameters
116886